from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,input_size,num_mem_tokens,segment_ordering,model_path,sum_loss,memory_layers,share_memory_layers,reconstruction_loss_coef,num_steps,best_valid_exact_match
bert-base-cased,,modeling_rmt:RMTEncoderHorizontalMemory,encoder,1e-05,4,4,linear,499,4,129,1.0,regular,../runs/framework/babilong/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{4}seg_mem1_bs32_iters3000_regular_ilm/run_2,False,,False,,3000.0,18.582374572753906
bert-base-cased,,modeling_rmt:RMTEncoderHorizontalMemory,encoder,1e-05,4,4,linear,499,4,129,1.0,regular,../runs/framework/babilong/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{4}seg_mem1_bs32_iters3000_regular_ilm/run_1,False,,False,,3000.0,19.39655113220215
bert-base-cased,,modeling_rmt.experimental:RMTEncoderMemFromSep,encoder,1e-05,8,4,linear,499,4,138,10.0,regular,../runs/framework/babilong/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{4}seg_mem10_bs32_iters3000_regular_mem_from_sep/run_3,False,,False,,450.0,17.863985061645508
bert-base-cased,,modeling_rmt.experimental:RMTEncoderMemFromSep,encoder,1e-05,8,4,linear,499,4,138,10.0,regular,../runs/framework/babilong/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{4}seg_mem10_bs32_iters3000_regular_mem_from_sep/run_2,False,,False,,3000.0,19.683908462524414
bert-base-cased,,modeling_rmt.experimental:RMTEncoderMemFromSep,encoder,1e-05,8,4,linear,499,4,138,10.0,regular,../runs/framework/babilong/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{4}seg_mem10_bs32_iters3000_regular_mem_from_sep/run_1,False,,False,,3000.0,19.061302185058594
bert-base-cased,,modeling_rmt:RMTEncoderMemoryLayers,encoder,1e-05,4,4,linear,499,2,254,1.0,regular,../runs/framework/babilong/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{2}seg_mem1_bs32_iters3000_regular_memory_layers_shared/run_3,False,all,True,,3000.0,100.0
bert-base-cased,,modeling_rmt:RMTEncoderMemoryLayers,encoder,1e-05,4,4,linear,499,2,254,1.0,regular,../runs/framework/babilong/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{2}seg_mem1_bs32_iters3000_regular_memory_layers_shared/run_2,False,all,True,,3000.0,20.545976638793945
bert-base-cased,,modeling_rmt:RMTEncoderMemoryLayers,encoder,1e-05,4,4,linear,499,2,254,1.0,regular,../runs/framework/babilong/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{2}seg_mem1_bs32_iters3000_regular_memory_layers_shared/run_1,False,all,True,,3000.0,99.712646484375
bert-base-cased,,modeling_rmt:RMTEncoderMemoryLayers,encoder,1e-05,2,4,linear,499,4,80,50.0,regular,../runs/framework/babilong/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{4}seg_mem50_bs32_iters3000_regular_memory_layers_shared/run_1,False,all,True,,3000.0,21.40804672241211
bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,8,4,linear,499,2,235,20.0,regular,../runs/test/babilong/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_499-512-{2}seg_mem20_bs32_iters3000_regular/run_3,False,,False,,3000.0,100.0
