task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,num_mem_tokens,segment_ordering,model_path,sum_loss,num_steps,best_valid_f1
qasper,t5-base,,modeling_rmt_enc_dec_scale_mem_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,1,linear,1024,1,10,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{1}seg_mem10_bs32_iters5000_regular_scale_mem/run_1,False,5000,20.125200271606445
qasper,t5-base,,modeling_rmt_enc_dec_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,1024,2,0,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem0_bs32_iters5000_regular/run_1,False,5000,11.01039981842041
qasper,t5-base,,modeling_rmt_enc_dec_ln:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,1024,2,10,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters5000_regular_ln_end/run_1,False,5000,9.456700325012207
qasper,t5-base,,modeling_rmt_enc_dec_ln:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,1024,2,25,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem25_bs32_iters5000_regular_ln_end/run_1,False,5000,10.344599723815918
qasper,t5-base,,modeling_rmt_enc_dec_ln:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,1,linear,1024,1,10,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{1}seg_mem10_bs32_iters5000_regular_ln_end/run_1,False,5000,18.42490005493164
qasper,t5-base,,modeling_rmt_enc_dec_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,1,linear,1024,1,1,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{1}seg_mem1_bs32_iters5000_regular/run_4,False,5000,19.968599319458008
qasper,t5-base,,modeling_rmt_enc_dec_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,1,linear,1024,1,1,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{1}seg_mem1_bs32_iters5000_regular/run_4,False,750,15.103400230407715
qasper,t5-base,,modeling_rmt_enc_dec_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,1,linear,1024,1,1,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{1}seg_mem1_bs32_iters5000_regular/run_4,False,5000,19.80299949645996
qasper,t5-base,,modeling_rmt_enc_dec_ln:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,1024,2,1,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem1_bs32_iters5000_regular_ln_end/run_1,False,5000,10.710399627685547
qasper,t5-base,,modeling_rmt_enc_dec_ln:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,1024,2,1,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem1_bs32_iters5000_regular_ln_end/run_1,False,0,0.0
qasper,t5-base,,modeling_rmt_enc_dec_ln:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,1024,2,1,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem1_bs32_iters5000_regular_ln_end/run_1,False,350,2.436500072479248
qasper,t5-base,,modeling_rmt_enc_dec_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,1,linear,512,1,1,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_512-1024-{1}seg_mem1_bs32_iters5000_regular/run_3,False,5000,19.472400665283203
qasper,t5-base,,modeling_rmt_enc_dec_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,512,1,1,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_512-1024-{1}seg_mem1_bs32_iters5000_regular/run_2,False,5000,19.511699676513672
qasper,t5-base,,modeling_rmt_enc_dec_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,1,linear,512,1,1,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_512-1024-{1}seg_mem1_bs32_iters5000_regular/run_1,False,50,0.0
qasper,t5-base,,modeling_rmt_enc_dec_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,1,linear,512,1,1,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_512-1024-{1}seg_mem1_bs32_iters5000_regular/run_1,False,5000,19.34510040283203
qasper,t5-base,,modeling_rmt_enc_dec_ln:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,1024,3,1,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{3}seg_mem1_bs32_iters5000_regular_ln_end/run_1,False,50,0.02539999969303608
qasper,t5-base,,modeling_rmt_enc_dec_ln:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,1024,3,1,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{3}seg_mem1_bs32_iters5000_regular_ln_end/run_1,False,50,0.0
qasper,t5-base,,modeling_rmt_enc_dec_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,512,1,10,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_512-1024-{1}seg_mem10_bs32_iters5000_regular/run_2,False,5000,20.095699310302734
qasper,t5-base,,modeling_rmt_enc_dec_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,1,linear,512,1,10,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_512-1024-{1}seg_mem10_bs32_iters5000_regular/run_1,False,5000,19.969100952148438
qasper,t5-base,,modeling_rmt_enc_dec_scale_mem_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,1,linear,1024,1,1,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{1}seg_mem1_bs32_iters5000_regular_scale_mem/run_1,False,5000,19.16819953918457
qasper,t5-base,,modeling_rmt_enc_dec_scale_mem_log:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,1,linear,1024,1,1,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{1}seg_mem1_bs32_iters5000_regular_scale_mem/run_1,False,250,0.0
qasper,t5-base,,modeling_rmt_enc_dec_ln:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,8,1,linear,1024,1,1,regular,../runs/finetune/debug/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{1}seg_mem1_bs32_iters5000_regular_ln_end/run_1,False,5000,19.542200088500977
,bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,16,1,linear,1024,3,10,regular,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_1024-1024-{3}seg_mem10_bs128_iters3000_regular/run_10,False,3000,0.7659574747085571
,bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,16,1,linear,1024,1,10,regular,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_1024-1024-{1}seg_mem10_bs128_iters3000_regular/run_10,False,3000,0.6818181872367859
,bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,16,1,linear,1024,1,10,regular,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_1024-1024-{1}seg_mem10_bs128_iters3000_regular/run_10,False,3000,0.6666666865348816
,bert-base-cased,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,16,1,linear,1024,1,10,regular,../runs/finetune/hyperpartisan_news_detection/bert-base-cased/lr1e-05_linear_adamw_wd1e-03_1024-1024-{1}seg_mem10_bs128_iters3000_regular/run_10,False,3000,0.6511628031730652
